,Autore,Stelle,Data,Titolo,Recensione,Lingua,Recensione_tradotta
10,giuseppe ,1,2023-10-21,Non funziona Alexa,Non funziona Alexa,it,Non funziona Alexa
11,Cliente Amazon,1,2023-09-02,Bassa qualità,Perde facilmente la connessione col telefono. I messaggi arrivano in notevole ritardo o non arrivano affatto,it,Perde facilmente la connessione col telefono. I messaggi arrivano in notevole ritardo o non arrivano affatto
12,Dania,1,2023-09-17,Mancanza cavo caricabateria,Al momento non posso valutare ne utilzare l' articolo per mancanza di caricabateria,it,Al momento non posso valutare ne utilzare l' articolo per mancanza di caricabateria
13,Alessandro,1,2023-09-10,La tenuta della batteria,La batteria non tiene niente di carica,it,La batteria non tiene niente di carica
14,Maria Grazia,1,2023-07-21,Piccole mancanze peccato,Non mi sono trovato bene non si collega ad Alexa e non è fattibile il pagamento,it,Non mi sono trovato bene non si collega ad Alexa e non è fattibile il pagamento
15,Debora,1,2023-08-18,Alexa non funziona!!,Non sente...non capisce... peccato!,it,Non sente...non capisce... peccato!
16,nasir rana,1,2023-06-06,Prodotto di pessima qualità,Non funzionaNon consiglio,it,Non funzionaNon consiglio
17,Daniele,1,2023-08-25,Solo l'estetica e'carino...,"L'app e' incompleta,la funzione battiti dopo una doccia non a più funzionato.....cinghiette introvabili...e scomoda..",it,"L'app e' incompleta,la funzione battiti dopo una doccia non a più funzionato.....cinghiette introvabili...e scomoda.."
18,Francesco,1,2023-08-08,il touch faceva cosa voleva,"Esteticamente bello ma non sono riuscito ad usarlo per piu di 2 minuti, il touch faceva cosa voleva rendendo impossibile l'utilizzo dell'orologio",it,"Esteticamente bello ma non sono riuscito ad usarlo per piu di 2 minuti, il touch faceva cosa voleva rendendo impossibile l'utilizzo dell'orologio"
19,Mike,1,2023-11-02,Nicht für schwimmen geeignet,"I bought this product because I wanted to track my strokes and laps in the swimming pool. After using it twice the watch doesn’t work as it used to. It is impossible to make a decent call because the microphone and the speaker are broken. Also the second time I used it, it didn’t count the laps properly and that was the moment when I realized that something was wrong. Inaccurate information and NOT supporting the features you advertise is a scam. I m returning this one back and buying a new one.",en,Ho acquistato questo prodotto perché volevo tenere traccia delle mie bracciate e delle mie vasche in piscina. Dopo averlo utilizzato due volte l'orologio non funziona più come prima. È impossibile effettuare una chiamata decente perché il microfono e l'altoparlante sono rotti. Anche la seconda volta che l’ho usato non contava correttamente i giri ed è stato in quel momento che ho capito che qualcosa non andava. Informazioni imprecise e NON supportate dalle funzionalità pubblicizzate sono una truffa. Lo restituirò e ne comprerò uno nuovo.
20,gaztaylor2,1,2023-09-09,Not waterproof as stated and zero response from the company,"Bought this watch with the waterproof/swimming function in mind, very ideal i thought. Wore the watch in the pool whilst on holiday (maximum 20 mins at a time, 2 metres deep) and now watch screen doesnt work. Sadly i was 4 days outside my return window for the watch, contacted the company direct and despite reading my messages, have had no reply whatsoever. So customer after care is clearly not a priority of theirs. Avoid avoid avoid.",en,"Ho comprato questo orologio pensando alla funzione impermeabile/nuoto, ho pensato che fosse molto ideale. Ho indossato l'orologio in piscina durante le vacanze (massimo 20 minuti alla volta, a 2 metri di profondità) e ora lo schermo dell'orologio non funziona. Purtroppo mancavano 4 giorni al termine del periodo di restituzione dell'orologio, ho contattato direttamente l'azienda e, nonostante abbia letto i miei messaggi, non ho ricevuto alcuna risposta. Quindi l'assistenza al cliente non è chiaramente una loro priorità. Evitare evitare evitare."
21,Stéphanie ,1,2023-11-02,Brûlure après quelques semaines d'utilisation,"Tout se passait très bien. La montre est facile a utiliser.Seulement au bout de 2 mois et demi d'utilisation, j'ai eu une brûlure à l'endroit du capteur.",fr,"Tutto stava andando molto bene. L'orologio è facile da usare, solo dopo 2 mesi e mezzo di utilizzo ho avuto una bruciatura vicino al sensore."
22,xxxxxxxxxx,1,2023-09-06,armband unpraktisch,nach langer wartezeit.was ich bei amazon noch nicht erlebt habe.habe beim auspacken der f. uhr einen schreck bekommen ein sehr unpraktisches armband ist an derselben sieht auch doof aus um das mal milde auszudrücken auch ein zweites armband ist nicht dabei dazu ist die uhr auch klobig die dazugehörige app ist sehr unzuverlässig.natürlich ist es meine meinung.dei f.uhr geht zurück.  sehr schade . aber es gibt gotseidank noch eine riesige auswahl anderer fabrikate nur sollte man sich diese genauer ansehen.,de,"Dopo una lunga attesa. Qualcosa che non avevo mai sperimentato su Amazon. Ho avuto uno shock quando ho disimballato l'orologio. C'è un braccialetto molto poco pratico, che sembra anche stupido, per usare un eufemismo. Inoltre non è incluso un secondo braccialetto, oltre al orologio Inoltre è goffo, l'app fornita con esso è molto inaffidabile. Ovviamente è la mia opinione. L'orologio sta tornando indietro. davvero sfortunato. Ma grazie al cielo c'è ancora una vasta scelta di altre marche, ma dovresti dare un'occhiata più da vicino."
23,Ashley,1,2023-03-08,Garbage,"This watch is garbage. First off it wants it so tight you're cutting off the circulation in your arm to get your BPMs and stress level. No matter what you do to it , it doesn't track your sleep properly - I could press buttons on it, check the weather, etc. and it still wouldn't show me as awake. The step counter is way off - it tracks your steps doing anything but carrying something. Driving? There's 300 steps. Petting a dog? There's 50 steps. Running up a set of steps carrying a rim? Nothing. The strap is made of silicone which I got a rash from. I messaged the seller to see if they only sold silicone replacements and never heard back from them. Returned the watch.",en,"Questo orologio è spazzatura. Innanzitutto lo vuole così stretto che stai interrompendo la circolazione nel braccio per ottenere i tuoi BPM e il livello di stress. Non importa cosa fai, non tiene traccia del tuo sonno correttamente: potrei premere i pulsanti, controllare il tempo, ecc. E comunque non mi mostrerebbe sveglio. Il contapassi è molto lontano: tiene traccia dei tuoi passi mentre fai qualsiasi cosa tranne trasportare qualcosa. Guida? Ci sono 300 gradini. Accarezzare un cane? Ci sono 50 gradini. Salire una serie di gradini portando un bordo? Niente. Il cinturino è in silicone da cui ho avuto un'eruzione cutanea. Ho inviato un messaggio al venditore per vedere se vendevano solo sostituti in silicone e non ho mai ricevuto risposta. Restituito l'orologio."
24,edelstejn emmanuella,1,2023-08-26,Achat récent,J'ai acheté cette montre le 10 août et elle ne fonctionne déjà plus nous sommes le 26 aoûtJ'ai fait une session de natation et depuis l'écran tactile ne fonctionne plus j'ai réinitialisé rien n'y faitTrès déçu de mon achat,fr,"Ho comprato questo orologio il 10 agosto e già non funziona più, è il 26 agosto. Ho fatto una sessione di nuoto e poiché il touch screen non funziona più, non ho ripristinato nulla e non funziona nulla. Molto deluso dal mio acquisto"
25,Hans-Peter Dittmar,1,2023-09-22,Nicht verwendbar.,"Beide heute gekauften Smartwatches sind nicht in Betrieb zu nehmen, da man die Software nicht starten kann, da der Zugang die Zustimmung zur umfangreichen Nutzungserlaubnis nicht erteilen läßt, da ein Programmfehler vorliegt.Wird zurück gegeben, da man nicht einmal die Anfangsdaten einstellen kann.",de,"Entrambi gli smartwatch acquistati oggi non possono essere messi in funzione perché non è possibile avviare il software perché l'accesso non consente di dare il consenso al permesso di utilizzo estensivo perché c'è un errore di programma, vengono restituiti perché non è possibile nemmeno impostare i dati iniziali."
26,Wilhelm Lange,1,2023-10-19,Lässt sich nur nach mehrmaligem Versuch mit dem Handy verbinden,Am Anfang war alles okay. Nach 1 1/2 Monaten fing es an die Uh trennte sich ständig vom Bluetooth. Jetzt lässt sie sich nur noch nach mehrmaligem Versuch mit dem Handy verbinden,de,All'inizio andava tutto bene. Dopo 1 mese e mezzo l'Uh ha iniziato a disconnettersi continuamente dal Bluetooth. Ora è possibile collegarlo al cellulare solo dopo diversi tentativi
27,albertini patricia,1,2023-10-05,Charge plus,Acheter en juillet offert en juillet écran noir ne se charge déjà plus rien à faire de courte durée en faite . A ne pas recommander,fr,Acquista a luglio gratuitamente a luglio lo schermo nero non carica più nulla da fare per un breve periodo infatti. Non consigliato
28,Danlly,1,2023-07-06,Just disappointed,,,
29,Aaron,1,2023-08-04,Stopped working just over 2 months old,"Originally loved this watch for its features at its appealing price point but you definitely get what you paid for with this one. Initial issues started where it wouldn't always get text messages or alert when phone calls were coming in.  Then it started having issues where the app wouldn't stay running and we ended up having to give it every permission under the sun to keep it running in the background which should not have been the case.  Then when the watch and phone were separated for any period of time, it required reconnecting manually in the bluetooth settings to have any of the function start working. The final straw was that it appears to have officially crashed and now only shows a screen with call ended text on it. We've tried rebooting and working on it and it appears it's just dead. Didn't even make it a full 2 months before it crashed and was useless. Would not recommend and would not buy again.",en,"Originariamente mi piaceva questo orologio per le sue funzionalità al suo prezzo interessante, ma ottieni sicuramente quello per cui hai pagato con questo. I problemi iniziali sono iniziati per cui non riceveva sempre messaggi di testo o avvisi quando arrivavano telefonate. Poi hanno iniziato ad avere problemi in cui l'app non rimaneva in esecuzione e alla fine abbiamo dovuto concederle ogni permesso possibile per mantenerla in esecuzione in background, cosa che non avrebbe dovuto essere così. Quindi, quando l'orologio e il telefono venivano separati per un certo periodo di tempo, era necessario riconnettersi manualmente nelle impostazioni Bluetooth per far sì che una qualsiasi funzione iniziasse a funzionare. L'ultima goccia è stata che sembra essersi ufficialmente bloccato e ora mostra solo una schermata con sopra il testo della chiamata terminata. Abbiamo provato a riavviarlo e a lavorarci sopra e sembra che sia semplicemente morto. Non ce l'ha fatta nemmeno per 2 mesi interi prima che si schiantasse e diventasse inutilizzabile. Non lo consiglierei e non lo comprerei di nuovo."
30,Lahrmann,1,2023-09-12,Keine Verbindung zu der App,"Ich versuche seit 2 Tagen eine Verbindung zu der Veryfit App zu bekommen.Ich habe ein Samsung S 20. Die App habe ich jetzt schon 3x neu heruntergeladen und bluetooth, bestimmt schon 15x an- und ausgeschaltet. Gibt es eine Lösung?",de,"Sono 2 giorni che provo a connettermi all'app Veryfit, ho un Samsung S 20, ho già scaricato l'app 3 volte e attivato e disattivato il Bluetooth 15 volte. Esiste una soluzione?"
31,Heckert carole,1,2023-09-22,Ne fonctionne pas,"BonjourMa montre est neuve, acheté en juillet, et, elle ne charge déjà plus, elle s allume et se reteind immédiatement.",fr,"CiaoIl mio orologio è nuovo, acquistato a luglio, non si carica più, si accende e si spegne subito."
32,michelle shilling,1,2023-09-09,Made my arm sore and flaky,Since wearing the watch it has made my skin sore and flaky.,en,Da quando indosso l'orologio la mia pelle diventa irritata e squamosa.
33,crevon,1,2023-09-10,Waterproof,Utilisation facile mes je les mises avec de l eau étant waterproof et le capteur de coeur et sommeil de fonctionnement plus,fr,Facili da usare li metto con l'acqua essendo impermeabili e il sensore cardiaco e la funzione sonno plus
34,Amazon Kunde,1,2023-09-11,Kurze Lebensdauer,Leider hat die Uhr gerade mal 3 Monat gehalten und geht jetzt geht es noch nicht mal an. Lohn sich nicht.,de,Purtroppo l'orologio è durato solo 3 mesi ed ora non parte nemmeno. Non ne vale la pena.
35,Johanna Moser,1,2023-09-28,O Bewertung armband ist defekt,Das armband ist schon kaputt Öse gebrochen sehr schlecht,de,"Il braccialetto è già rotto, l'occhiello è rotto molto gravemente"
36,Thomas Kleim,1,2023-10-14,Allergie,Kunststoff verursacht Allergie,de,La plastica provoca allergie
37,Claudia Ambrosi,1,2023-06-11,Funktioniert nicht,"Man kann das Volumen nicht ändern; wenn es die Verbindung mit dem Handy verliert, verbindet es sich nocht wieder von selbst. Manche von den Apps kann man nicht benutzen (z.B. Musik); die Funktion ""Handy finden"" hat nur einmal funktioniert. Man kann die einkommenden WhatsApps oder EMail nur teilweise lesen und nicht antworten.Es macht dein Leben nicht einfacher, sondern macht es dich noch abhängiger vom Handy.Virl zu teuer und das einziges, dass nützlich ist, ist die Uhr.",de,"Non puoi modificare il volume; se perde la connessione con il cellulare non si riconnetterà Alcune app non potranno essere utilizzate (es. musica); La funzione ""Trova cellulare"" ha funzionato solo una volta. Puoi leggere solo parzialmente le email o i messaggi WhatsApp in arrivo e non rispondere, questo non ti semplifica la vita, ti rende ancora più dipendente dal cellulare, costa troppo e l'unica cosa utile è l'orologio."
38,Customer ,1,2023-09-01,Very bad,Can't return,en,Non posso tornare
39,Peter Cremer,1,2023-09-09,Nicht lange funktioniert!!!,"War eigentlich am Anfang sehr zufrieden, nur funktionierte nicht lange.",de,"In realtà all'inizio ero molto felice, ma non ha funzionato a lungo."
40,llopis,1,2023-10-02,Montre hs en quelques jour,Ne fonctionne pas,fr,Non funziona
41,Berthe,1,2023-08-07,S’allume plus,Au bout de 2 journée en baignade la montre ne s’allume plus,fr,Dopo 2 giorni di nuoto l'orologio non si accende più
42,Client d'Amazon,1,2023-09-02,certains ne fonctionnent pas !!!,La montre ne fonctionne pas ???,fr,L'orologio non funziona???
43,DE ROP,1,2023-07-13,Beugue,Même pas une semaine que je l ai est elle déconne vibre en permanence pourtant tout les réglage sont correct déçu,fr,"Non ce l'ho nemmeno da una settimana e vibra costantemente ma tutte le impostazioni sono corrette, deluso"
44,MARIN JUSTICIA,1,2023-07-20,Pas satisfaite,Pour le GPS c'est nul . l'application coupe régulièrement c'est impossible a faire un circuit,fr,Per il GPS è inutile. l'applicazione taglia regolarmente è impossibile fare un circuito
45,Edward,1,2023-10-20,Smart Watch,The app for this watch did not activate so the watch would not work.FDisappointed,en,"L'app per questo orologio non è stata attivata, quindi l'orologio non funzionava.F Deluso"
46,Sandrine odolo,1,2023-08-16,Bien,Montre ok,fr,Mostra ok
47,Waltraud,1,2023-07-31,Smartwatch,Smartwatch lässt sich nicht Handy verbinden.,de,Lo smartwatch non può essere collegato al cellulare.
48,Amazon Kunde,1,2023-07-06,Uhr verliert Kontakt zum Bluetooth,Leider immer wieder Fehlfunktionen.,de,Purtroppo ci sono sempre dei malfunzionamenti.
49,Stefan Schwinn,1,2023-05-28,"Schöne Uhr, aber schnell kaputt",Ich habe die Uhr Ende Mai gekauft. Jetzt ist sie defekt. Man findet keine Chance um eine Gewährleistung zu erhalten. Keine Adresse des Verkäufers oder Ähnliches.,de,Ho comprato l'orologio a fine maggio. Ora è difettoso. Non c'è alcuna possibilità di ottenere una garanzia. Nessun indirizzo del venditore o qualcosa di simile.
50,antonio,1,2023-08-18,Notificaciones,Las  notificaciones y Alexa no funciona casi nunca,es,Le notifiche e Alexa non funzionano quasi mai
51,Web-Bee,1,2023-03-25,I couldn't get the straps on!!!,"Like someone else in the reviewers section, I was surprised that the watch came as a pebble and straps....... Unlike her, I couldn't figure it out or find anything online or in the instructions, so back it went.",en,"Come qualcun altro nella sezione recensori, sono rimasto sorpreso dal fatto che l'orologio fosse arrivato come un sassolino e con i cinturini....... A differenza di lei, non sono riuscito a capirlo o a trovare nulla online o nelle istruzioni, quindi sono tornato indietro ."
52,Mr. Ruiz,1,2023-10-04,Watch just stopped working,Watch just went from fine to not doing anything. Conveniently after the return window was closed. Never been swimming or anything it just stopped working.,en,"L'orologio è passato dall'essere in buone condizioni al non fare nulla. Convenientemente dopo la chiusura della finestra di reso. Non ho mai nuotato o altro, ha semplicemente smesso di funzionare."
53,Shelby,1,2023-07-21,Don't buy this if you live in Florida or go outside in the summer.,"Have had this for a couple months with no issues with the app or features of the watch itself. Wear it relatively loose.Took my kids out to the park yesterday morning, and noticed my wrist started getting itchy.Look down, and the back of the watch is stuck to my wrist.Took the watch off and this lovely burn was there.My skins still on the back of the watch.",en,L'ho avuto per un paio di mesi senza problemi con l'app o le funzionalità dell'orologio stesso. Indossalo relativamente largo. Ieri mattina ho portato i miei bambini al parco e ho notato che il mio polso ha iniziato a prudermi. Guarda in basso e il retro dell'orologio è attaccato al mio polso. Ho tolto l'orologio e c'era questa bella bruciatura. pelli ancora sul retro dell'orologio.
54,jonfindme,1,2023-10-25,Dodgy product.,"Died on me yesterday, bought in June 2023. Won't turn on. Totally dead. Crap purchase.",en,"Mi è morto ieri, acquistato nel giugno 2023. Non si accende. Totalmente morto. Acquisto schifoso."
55,Richard Nottley,1,2022-11-05,Alexa stops working when you have your first call,Alexa works fine until you get your first call then stops working and won’t work again . There’s no way of contacting the seller to discuss the firmware problem . Tbh stay away from buying this watch . Not worth the hassle of stress,en,"Alexa funziona bene finché non ricevi la prima chiamata, poi smette di funzionare e non funzionerà più. Non c'è modo di contattare il venditore per discutere il problema del firmware. Ad ogni modo, stai lontano dall'acquistare questo orologio. Non vale la pena stressarsi"
56,Beth,1,2023-10-14,It doesn't do what it claims it's supposed to do.,Description isn't accurate to item. Doesn't do what it claims its supposed to do.,en,La descrizione non è accurata per l'articolo. Non fa quello che afferma di dover fare.
57,Lorra Schippers,1,2023-05-22,Smart watch too smart,I ordered this watch for my husband which he really liked at first but wherever he was in the semi truck he couldn't disable it from the bluetooth. So whenever he received a call it would come through the watch and disable his headset so he couldn't answer the phone and being a truck driver you can get a fine if you don't use hands free. So not very happy...,en,"Ho ordinato questo orologio per mio marito e all'inizio gli è piaciuto molto, ma ovunque si trovasse nel semirimorchio non riusciva a disattivarlo dal Bluetooth. Quindi ogni volta che riceveva una chiamata, questa passava attraverso l'orologio e disabilitava le sue cuffie in modo da non poter rispondere al telefono ed essendo un camionista puoi ricevere una multa se non usi le mani libere. Quindi non molto felice..."
58,Carol,1,2023-05-03,Doesn’t stay connected to Bluetooth. Have to keep pairing to my phone.,I don’t know if I got a defective watch but this thing is horrible.  Constantly having to pair with my phone.  Never received text msgs because it constantly looses connection to my phone.  The other issue with this watch is that it’s completely inaccurate with steps.  It chimed Monday stating I did 10 thousand steps.  It was wayyy off.  I was lucky that day if I walked 3 thousand steps.  I’m returning this item.  I’ll try a different brand.,en,"Non so se ho ricevuto un orologio difettoso, ma questa cosa è orribile. Dover accoppiarsi costantemente con il mio telefono. Non ho mai ricevuto messaggi di testo perché perde costantemente la connessione con il mio telefono. L'altro problema con questo orologio è che è completamente impreciso con i passaggi. Lunedì suonò dicendo che avevo fatto 10mila passi. Era davvero fuori posto. Sono stato fortunato quel giorno se ho fatto 3mila passi. Sto restituendo questo articolo. Proverò una marca diversa."
59,Heiko Maciejewski,1,2023-04-13,Funktionierte ach 2 Monaten nicht mehr,Ging nach 2 Monaten nicht mehr,de,Ha smesso di funzionare dopo 2 mesi
60,paula b.,1,2023-03-07,Watch,I cannot connect my watch to my phone,en,Non riesco a connettere l'orologio al telefono
61,Blayzz,1,2023-05-03,I guess you get what you paid For.,It was difficult to connect. It would disconnect itself. The pins for the watch band eventually wore a roll in the plastic and now it won't get go back together. Absolutely the worst buy you could get. 10 out of 10 do not recommend,en,È stato difficile connettersi. Si disconnetterebbe da solo. I perni del cinturino dell'orologio alla fine si sono incastrati nella plastica e ora non si rimetteranno più insieme. Assolutamente il peggior acquisto che si possa fare. 10 su 10 non lo consiglio
62,Lindea Greenwell,1,2023-07-03,Elevation issues,My husband belongs to an orienteering club.  He found that this watch does not give him elevation information. Thus he is not happy with it.,en,Mio marito appartiene ad un club di orienteering. Ha scoperto che questo orologio non gli fornisce informazioni sull'altitudine. Quindi non ne è contento.
63,Acrepairman,1,2023-03-13,Battery life,So far I’m dissatisfied with the watch.  battery life is only about 2 days. I’ve had the watch for less than a week and and it no longer works properly.  Unfortunately for me I’m on vacation for two weeks and will not be able to return the watch until I return.,en,Finora non sono soddisfatto dell'orologio. la durata della batteria è di soli 2 giorni circa. Ho l'orologio da meno di una settimana e non funziona più correttamente. Purtroppo per me sono in vacanza per due settimane e non potrò restituire l'orologio fino al mio ritorno.
64,Abish,1,2022-10-02,Waste of money,Bluetooth not working and battery life no good,en,Il Bluetooth non funziona e la durata della batteria non è buona
65,S. Gannon,1,2023-05-01,do not wear in the shower,It lost battery life fast and forget about taking a shower w it on. grrr  stopped working . and I got a rash on my wrist from its contact with my skin.,en,Ha perso rapidamente la durata della batteria e si è dimenticato di fare la doccia con esso acceso. grrr ha smesso di funzionare. e ho avuto un'eruzione cutanea sul polso a causa del contatto con la pelle.
66,David,1,2023-07-21,Smart Watch Do Sports,The one band doesn’t have the attachment pin in it,en,L'unica fascia non ha il perno di fissaggio al suo interno
67,Catherine Brewer,1,2023-04-08,Won't work,"Bought this in December and it will no longer connect, restart nor connect to the app.Bought this in December and it will no longer connect, restart and is stuck on 1 screen",en,"L'ho comprato a dicembre e non si collegherà, non si riavvierà né si collegherà più all'app. L'ho comprato a dicembre e non si collegherà, non si riavvierà più ed è bloccato su 1 schermo"
68,Dennis,1,2023-06-29,much less than hoped for,"length of time screen is lit, wrist motion didn't always work",en,"per un periodo di tempo in cui lo schermo è acceso, il movimento del polso non ha sempre funzionato"
69,Robert Garza ,1,2023-04-22,Not a very good product 😕,Stopped working froze in less then 4 months,en,Smesso di funzionare si è bloccato in meno di 4 mesi
70,Taylor Sidney,1,2023-04-26,Not for tesla,Not for Tesla apo,en,Non per Tesla apo
71,Willy a goldsmidt,1,2023-02-03,The watch broke after two months,"This watch broke after two months, and I don’t know how to get to the people that sold her today",en,Questo orologio si è rotto dopo due mesi e non so come raggiungere le persone che l'hanno venduto oggi
72,Andrea Munich,1,2023-04-05,Not waterproof.,I went in water with it and now the speaker doesn't work.,en,Ci sono andato in acqua e ora l'altoparlante non funziona.
73,Peggy Oneill,1,2023-04-19,HE CHANGED HIS MIND,HE CHANGED HIS MIND,en,HA CAMBIATO IDEA
74,Lee k,1,2022-11-22,does not do what it claims,the description says it measures blood oxygen and blood pressure but I cannot find how it does that there is no app.,en,la descrizione dice che misura l'ossigeno nel sangue e la pressione sanguigna ma non riesco a trovare come fa perché non esiste un'app.
75,Larry Parker Sr,1,2023-01-11,Item doesn't meet my expectation,Did not meet my expectation and will return,en,Non ha soddisfatto le mie aspettative e ritorneremo
76,Amazon Customer,1,2022-12-10,Little deficit,Phone sinc Larkin difficult,en,Telefono da Larkin difficile
77,Starry night,1,2023-05-05,"Rejected by the VeryFit app, so unable to pair","This seemed like a decent smartwatch. It has a sturdy, well-made feeling case, a decent silicone strap, and when switched on the screen clarity looks pretty good.Unfortunately that is the extent of what I have been able to test. I installed the app and went to pair the watch with my phone, only to get a message on the app that the watch is incompatible with the only version of the VeryFit software available. The software then displays a link which sends me back to the store to download… the precise app I have already installed and opened on my phone.This watch is one of the ones which has no functionality at all until it has been paired with a phone, so is stuck on a pair of screen displays: one with an instruction to download the VeryFit app from the Play/App Store and one with a QR code on it. Since the software rejects the watch, the watch can’t be used even for the most basic functions such as step counting.Absolutely hopeless.=======Since submitting this review the vendor has been in contact twice to try and ‘help’ me with this. But their big suggestion has been to try pairing it with a different phone. Because all of us just have two phones sitting round 🙄",en,"Sembrava uno smartwatch decente. Ha una custodia robusta e ben fatta, un cinturino in silicone decente e quando è acceso la nitidezza dello schermo sembra piuttosto buona. Sfortunatamente questo è il limite di ciò che ho potuto testare. Ho installato l'app e sono andato ad associare l'orologio al mio telefono, solo per ricevere un messaggio sull'app che informava che l'orologio non è compatibile con l'unica versione disponibile del software VeryFit. Il software quindi visualizza un collegamento che mi rimanda allo store per scaricare... l'app esatta che ho già installato e aperto sul mio telefono. Questo orologio è uno di quelli che non ha alcuna funzionalità finché non viene accoppiato con un telefono , quindi è bloccato su un paio di schermate: una con le istruzioni per scaricare l'app VeryFit dal Play/App Store e l'altra con un codice QR su di essa. Poiché il software rifiuta l'orologio, l'orologio non può essere utilizzato nemmeno per le funzioni più basilari come il conteggio dei passi. Assolutamente senza speranza. ======= Dopo aver inviato questa recensione, il venditore è stato contattato due volte per provare e "" aiutami con questo. Ma il loro grande suggerimento è stato quello di provare ad accoppiarlo con un telefono diverso. Perché tutti noi abbiamo solo due telefoni seduti 🙄"
78,Quiverbow,1,2023-06-06,Not so smart,"I had the same problem as another reviewer when trying to get the watch to pair or even recognise my phone. Whilst a one star review might seem a bit mean when others have said it's good, I can only go with my own experience and despite repeated tries, it didn't work so I gave up, which is a shame as it looks like it could be a decent smart watch.",en,"Ho avuto lo stesso problema di un altro recensore durante il tentativo di accoppiare l'orologio o addirittura di riconoscere il mio telefono. Anche se una recensione a una stella potrebbe sembrare un po' meschina quando altri hanno detto che è buona, posso solo basarmi sulla mia esperienza e, nonostante ripetuti tentativi, non ha funzionato, quindi ho rinunciato, il che è un peccato perché sembra che potrebbe essere un orologio intelligente decente."
