age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y;ID
36;services;married;secondary;no;-27;yes;yes;cellular;7;jul;151;4;-1;0;nonexistent;no;27
49;blue-collar;married;primary;no;-157;yes;no;cellular;7;jul;491;3;-1;0;nonexistent;yes;28
55;blue-collar;married;secondary;no;49;yes;no;cellular;7;jul;494;4;-1;0;nonexistent;yes;29
51;technician;married;secondary;no;216;no;no;cellular;7;jul;615;2;-1;0;nonexistent;yes;30
51;management;married;tertiary;no;1421;yes;no;cellular;7;jul;152;5;-1;0;nonexistent;no;31
38;blue-collar;married;secondary;no;222;yes;yes;cellular;7;jul;164;5;-1;0;nonexistent;no;32
59;entrepreneur;married;tertiary;no;1728;no;no;cellular;7;jul;575;2;-1;0;nonexistent;no;33
54;management;divorced;tertiary;no;5253;yes;yes;cellular;7;jul;17;19;-1;0;nonexistent;no;34
43;management;single;tertiary;no;47;yes;no;cellular;7;jul;316;5;-1;0;nonexistent;no;35
60;entrepreneur;divorced;primary;no;2648;no;no;cellular;7;jul;148;2;-1;0;nonexistent;no;36
34;services;married;secondary;no;0;no;no;cellular;7;jul;160;3;-1;0;nonexistent;no;37
31;admin.;single;secondary;no;-182;yes;no;cellular;7;jul;181;2;-1;0;nonexistent;no;38
43;technician;married;secondary;yes;-313;no;yes;cellular;7;jul;89;4;-1;0;nonexistent;no;39
53;blue-collar;married;primary;no;465;yes;no;cellular;7;jul;111;2;-1;0;nonexistent;no;40
47;blue-collar;married;primary;yes;25;yes;yes;cellular;7;jul;142;3;-1;0;nonexistent;no;41
39;management;married;primary;no;551;no;yes;cellular;7;jul;107;5;-1;0;nonexistent;no;42
56;housemaid;married;primary;no;58;no;yes;cellular;7;jul;227;6;-1;0;nonexistent;no;43
41;services;married;secondary;no;650;yes;no;cellular;7;jul;149;5;-1;0;nonexistent;no;44
41;housemaid;married;primary;no;1618;yes;no;cellular;7;jul;134;2;-1;0;nonexistent;no;45
60;retired;married;primary;no;-63;yes;no;cellular;7;jul;1434;5;-1;0;nonexistent;no;46
58;management;married;primary;no;4850;no;no;cellular;7;jul;179;2;-1;0;nonexistent;no;47
56;blue-collar;married;primary;no;409;yes;no;telephone;7;jul;176;6;-1;0;nonexistent;no;48
36;unemployed;single;primary;no;0;yes;no;telephone;7;jul;63;6;-1;0;nonexistent;no;49
39;management;married;tertiary;no;1007;yes;no;cellular;7;jul;86;2;-1;0;nonexistent;no;50
46;management;married;primary;no;312;yes;no;cellular;7;jul;113;2;-1;0;nonexistent;no;51
58;blue-collar;divorced;primary;no;820;yes;no;cellular;7;jul;200;4;-1;0;nonexistent;no;52
52;management;married;secondary;no;3369;no;no;cellular;7;jul;196;2;-1;0;nonexistent;no;53
41;services;married;secondary;no;841;yes;no;cellular;7;jul;250;2;-1;0;nonexistent;no;54
59;blue-collar;married;secondary;no;-1336;no;yes;cellular;7;jul;450;2;-1;0;nonexistent;no;55
43;management;divorced;secondary;no;0;no;no;cellular;7;jul;75;3;-1;0;nonexistent;no;56
50;blue-collar;married;primary;no;9301;yes;no;cellular;7;jul;136;4;-1;0;nonexistent;no;57
49;technician;married;primary;no;486;no;no;telephone;7;jul;229;5;-1;0;nonexistent;no;58
51;self-employed;married;secondary;yes;34;no;yes;cellular;7;jul;200;1;-1;0;nonexistent;no;59
39;technician;single;secondary;no;506;yes;no;cellular;7;jul;718;2;-1;0;nonexistent;yes;60
38;management;married;tertiary;no;1444;yes;no;cellular;7;jul;139;2;-1;0;nonexistent;no;61
30;services;single;secondary;no;0;yes;no;cellular;7;jul;161;2;-1;0;nonexistent;no;62
41;technician;married;secondary;no;923;yes;no;cellular;7;jul;141;3;-1;0;nonexistent;no;63
45;unemployed;divorced;secondary;no;-44;yes;no;cellular;7;jul;256;2;-1;0;nonexistent;no;64
54;services;divorced;tertiary;no;413;no;no;cellular;7;jul;39;9;-1;0;nonexistent;no;65
47;admin.;single;secondary;no;3531;yes;no;cellular;7;jul;49;6;-1;0;nonexistent;no;66
53;management;divorced;tertiary;no;243;yes;no;cellular;7;jul;66;2;-1;0;nonexistent;no;67
41;blue-collar;married;primary;no;484;yes;no;cellular;7;jul;321;3;-1;0;nonexistent;no;68
42;blue-collar;divorced;primary;no;213;yes;no;cellular;7;jul;434;3;-1;0;nonexistent;yes;69
33;services;single;secondary;no;170;no;no;cellular;7;jul;782;1;-1;0;nonexistent;yes;70
34;self-employed;married;tertiary;no;-236;yes;no;cellular;7;jul;118;4;-1;0;nonexistent;no;71
54;blue-collar;divorced;secondary;no;1613;yes;no;cellular;7;jul;128;3;-1;0;nonexistent;no;72
37;entrepreneur;married;tertiary;no;555;no;no;cellular;7;jul;104;2;-1;0;nonexistent;no;73
59;admin.;married;secondary;no;1914;yes;no;cellular;7;jul;126;3;-1;0;nonexistent;no;74
38;technician;married;secondary;no;2220;no;no;cellular;7;jul;87;2;-1;0;nonexistent;no;75
27;admin.;single;secondary;no;450;yes;no;cellular;7;jul;107;3;-1;0;nonexistent;no;76
59;management;married;tertiary;no;553;yes;no;cellular;7;jul;1272;3;-1;0;nonexistent;yes;77
31;admin.;single;secondary;no;92;yes;no;cellular;7;jul;401;2;-1;0;nonexistent;no;78
45;blue-collar;divorced;primary;no;1805;no;no;cellular;7;jul;758;1;-1;0;nonexistent;no;79
37;self-employed;married;secondary;no;1523;no;yes;cellular;7;jul;316;2;-1;0;nonexistent;no;80
42;blue-collar;divorced;secondary;no;3407;no;no;cellular;7;jul;277;2;-1;0;nonexistent;no;81
40;blue-collar;married;primary;no;254;yes;no;cellular;7;jul;107;3;-1;0;nonexistent;no;82
42;unemployed;married;primary;no;11;no;no;cellular;7;jul;111;3;-1;0;nonexistent;no;83
27;management;single;secondary;no;1609;yes;no;cellular;7;jul;360;3;-1;0;nonexistent;no;84
45;management;married;tertiary;no;1447;yes;yes;cellular;7;jul;461;2;-1;0;nonexistent;no;85
43;technician;divorced;tertiary;no;27;no;no;cellular;7;jul;412;4;-1;0;nonexistent;no;86
41;admin.;married;secondary;no;125;no;no;cellular;7;jul;244;4;-1;0;nonexistent;no;87
47;management;married;primary;no;1797;no;no;cellular;7;jul;62;4;-1;0;nonexistent;no;88
44;blue-collar;married;primary;no;2;no;yes;telephone;7;jul;46;2;-1;0;nonexistent;no;89
40;admin.;married;secondary;no;1395;yes;yes;cellular;7;jul;122;2;-1;0;nonexistent;no;90
33;technician;divorced;secondary;no;522;no;yes;cellular;7;jul;559;4;-1;0;nonexistent;no;91
36;entrepreneur;divorced;tertiary;no;776;no;yes;cellular;7;jul;722;3;-1;0;nonexistent;yes;92
25;blue-collar;married;primary;no;0;no;no;cellular;7;jul;64;1;-1;0;nonexistent;no;93
45;technician;married;secondary;no;879;no;no;cellular;7;jul;621;2;-1;0;nonexistent;yes;94
27;services;single;secondary;no;266;no;yes;cellular;7;jul;232;1;-1;0;nonexistent;no;95
43;services;married;primary;no;29;no;no;telephone;7;jul;259;8;-1;0;nonexistent;no;96
37;self-employed;married;secondary;no;1633;no;no;cellular;7;jul;629;2;-1;0;nonexistent;yes;97
48;management;married;tertiary;no;666;yes;no;cellular;7;jul;317;6;-1;0;nonexistent;no;98
30;services;married;secondary;no;-134;yes;yes;cellular;7;jul;61;1;-1;0;nonexistent;no;99
35;self-employed;married;secondary;no;0;yes;no;telephone;7;jul;126;4;-1;0;nonexistent;no;100
46;unemployed;married;secondary;no;926;no;no;cellular;7;jul;385;5;-1;0;nonexistent;yes;101
43;technician;married;secondary;no;-796;no;no;cellular;7;jul;190;4;-1;0;nonexistent;no;102
52;retired;married;tertiary;no;493;no;no;cellular;7;jul;61;6;-1;0;nonexistent;no;103
37;services;married;secondary;no;343;yes;yes;cellular;7;jul;74;7;-1;0;nonexistent;no;104
45;technician;married;secondary;no;268;no;no;cellular;7;jul;96;14;-1;0;nonexistent;no;105
54;management;divorced;tertiary;no;92;no;yes;telephone;7;jul;86;4;-1;0;nonexistent;no;106
28;management;single;tertiary;no;0;no;no;cellular;7;jul;94;1;-1;0;nonexistent;no;107
44;services;married;secondary;no;182;yes;yes;cellular;7;jul;209;4;-1;0;nonexistent;no;108
57;admin.;married;secondary;no;1143;no;no;telephone;7;jul;69;3;-1;0;nonexistent;no;109
46;blue-collar;married;secondary;no;4044;no;no;cellular;7;jul;326;3;-1;0;nonexistent;no;110
27;blue-collar;single;secondary;no;77;no;yes;cellular;7;jul;497;1;-1;0;nonexistent;no;111
51;technician;married;secondary;no;1327;no;no;cellular;7;jul;21;2;-1;0;nonexistent;no;112
29;admin.;married;secondary;no;488;no;yes;cellular;7;jul;223;1;-1;0;nonexistent;no;113
57;technician;married;secondary;no;0;no;no;cellular;7;jul;236;1;-1;0;nonexistent;no;114
59;retired;divorced;secondary;no;23;no;no;cellular;7;jul;66;1;-1;0;nonexistent;no;115
57;retired;married;primary;no;808;no;no;telephone;7;jul;274;1;-1;0;nonexistent;no;116
26;services;married;secondary;no;-236;yes;yes;cellular;7;jul;459;1;-1;0;nonexistent;no;117
36;services;married;secondary;no;-274;no;no;cellular;7;jul;217;1;-1;0;nonexistent;no;118
35;management;single;tertiary;no;12;no;no;cellular;7;jul;289;1;-1;0;nonexistent;no;119
40;admin.;single;secondary;no;-1;no;no;cellular;7;jul;173;1;-1;0;nonexistent;no;120
51;blue-collar;married;primary;no;505;no;yes;cellular;7;jul;130;1;-1;0;nonexistent;no;121
45;services;divorced;secondary;no;88;no;yes;cellular;7;jul;332;1;-1;0;nonexistent;no;122
33;blue-collar;single;primary;no;777;no;no;cellular;7;jul;263;1;-1;0;nonexistent;no;123
53;blue-collar;married;primary;no;0;no;no;cellular;7;jul;114;1;-1;0;nonexistent;no;124
39;blue-collar;single;primary;no;366;yes;yes;cellular;7;jul;166;1;-1;0;nonexistent;no;125
43;management;married;tertiary;no;460;no;yes;cellular;7;jul;94;1;-1;0;nonexistent;no;126
60;blue-collar;divorced;primary;no;3427;no;no;cellular;7;jul;169;1;-1;0;nonexistent;no;127
28;housemaid;single;primary;no;332;no;no;cellular;7;jul;385;1;-1;0;nonexistent;no;128
46;technician;married;secondary;no;967;no;no;cellular;7;jul;248;3;-1;0;nonexistent;no;129
56;management;married;primary;no;21;no;no;cellular;7;jul;118;1;-1;0;nonexistent;no;130
32;self-employed;single;tertiary;no;2559;no;no;cellular;7;jul;889;1;-1;0;nonexistent;yes;131
32;admin.;married;secondary;no;1604;no;yes;cellular;7;jul;625;1;-1;0;nonexistent;yes;132
34;blue-collar;single;primary;yes;-2;no;yes;cellular;7;jul;199;1;-1;0;nonexistent;no;133
30;management;single;tertiary;no;0;no;no;cellular;7;jul;240;1;-1;0;nonexistent;no;134
51;blue-collar;married;secondary;no;505;yes;no;telephone;7;jul;199;4;-1;0;nonexistent;no;135
29;services;married;tertiary;no;0;no;yes;cellular;7;jul;158;1;-1;0;nonexistent;no;136
35;services;single;secondary;no;2110;no;yes;cellular;7;jul;39;1;-1;0;nonexistent;no;137
29;blue-collar;married;primary;no;0;yes;no;telephone;7;jul;256;15;-1;0;nonexistent;no;138
31;blue-collar;single;secondary;no;1;no;yes;cellular;7;jul;174;1;-1;0;nonexistent;no;139
29;blue-collar;married;primary;no;57;no;yes;cellular;7;jul;461;1;-1;0;nonexistent;no;140
44;housemaid;married;primary;no;398;no;no;cellular;7;jul;187;3;-1;0;nonexistent;no;141
32;services;single;secondary;no;-1139;yes;no;cellular;7;jul;201;1;-1;0;nonexistent;no;142
36;blue-collar;married;secondary;no;537;no;yes;cellular;7;jul;206;6;-1;0;nonexistent;no;143
40;technician;married;secondary;no;351;no;yes;cellular;7;jul;139;1;-1;0;nonexistent;no;144
37;management;single;tertiary;no;0;no;no;cellular;7;jul;643;3;-1;0;nonexistent;no;145
45;management;single;secondary;no;-57;no;yes;cellular;7;jul;262;1;-1;0;nonexistent;no;146
39;admin.;married;secondary;no;2319;no;no;cellular;7;jul;84;1;-1;0;nonexistent;no;147
25;technician;single;tertiary;no;437;no;yes;cellular;7;jul;121;1;-1;0;nonexistent;no;148
41;technician;single;secondary;no;879;no;yes;cellular;7;jul;60;4;-1;0;nonexistent;no;149
34;technician;single;secondary;no;232;no;no;cellular;7;jul;130;1;-1;0;nonexistent;no;150
37;admin.;single;secondary;no;-117;no;yes;cellular;7;jul;106;1;-1;0;nonexistent;no;151
51;retired;married;secondary;no;3003;yes;no;cellular;7;jul;149;3;-1;0;nonexistent;no;152
35;admin.;single;secondary;no;0;no;yes;cellular;7;jul;480;1;-1;0;nonexistent;no;153
49;blue-collar;married;primary;no;-167;no;no;cellular;7;jul;51;1;-1;0;nonexistent;no;154
28;technician;single;secondary;no;909;no;yes;cellular;7;jul;532;1;-1;0;nonexistent;yes;155
26;blue-collar;single;secondary;no;428;no;yes;cellular;7;jul;575;1;-1;0;nonexistent;no;156
27;management;married;tertiary;no;54;yes;yes;cellular;7;jul;72;1;-1;0;nonexistent;no;157
45;admin.;divorced;secondary;no;-176;no;yes;cellular;7;jul;574;1;-1;0;nonexistent;yes;158
34;admin.;divorced;secondary;no;564;no;yes;cellular;7;jul;445;1;-1;0;nonexistent;no;159
27;services;married;secondary;no;221;no;yes;cellular;7;jul;554;1;-1;0;nonexistent;no;160
35;services;divorced;secondary;no;35;yes;no;cellular;7;jul;129;4;-1;0;nonexistent;no;161
48;admin.;married;secondary;no;8;no;yes;cellular;7;jul;46;1;-1;0;nonexistent;no;162
33;services;single;secondary;no;149;no;yes;cellular;7;jul;254;1;-1;0;nonexistent;no;163
31;technician;single;secondary;no;475;no;no;cellular;7;jul;226;1;-1;0;nonexistent;no;164
56;housemaid;divorced;secondary;no;977;no;no;cellular;7;jul;1200;1;-1;0;nonexistent;no;165
29;blue-collar;single;primary;no;161;no;yes;cellular;7;jul;295;1;-1;0;nonexistent;no;166
40;management;divorced;tertiary;no;492;no;yes;cellular;7;jul;125;2;-1;0;nonexistent;no;167
35;admin.;married;secondary;no;0;no;no;cellular;7;jul;78;11;-1;0;nonexistent;no;168
30;admin.;married;primary;no;40;yes;yes;cellular;7;jul;174;1;-1;0;nonexistent;no;169
59;blue-collar;married;secondary;no;13718;no;no;telephone;7;jul;107;6;-1;0;nonexistent;no;170
34;blue-collar;married;secondary;no;205;yes;yes;cellular;7;jul;309;1;-1;0;nonexistent;no;171
26;blue-collar;single;secondary;no;123;no;yes;cellular;7;jul;209;1;-1;0;nonexistent;no;172
41;management;married;secondary;no;0;no;yes;cellular;7;jul;630;3;-1;0;nonexistent;no;173
58;blue-collar;married;secondary;no;2146;no;no;cellular;7;jul;206;3;-1;0;nonexistent;no;174
35;blue-collar;married;primary;no;63;no;yes;cellular;7;jul;243;2;-1;0;nonexistent;no;175
27;technician;married;secondary;no;-428;no;no;cellular;7;jul;451;1;-1;0;nonexistent;no;176
40;management;married;tertiary;no;0;no;no;cellular;7;jul;111;1;-1;0;nonexistent;no;177
52;technician;divorced;tertiary;yes;-1014;no;yes;cellular;7;jul;154;1;-1;0;nonexistent;no;178
38;technician;married;secondary;no;-228;yes;no;cellular;7;jul;162;4;-1;0;nonexistent;no;179
30;blue-collar;single;secondary;no;-42;no;no;cellular;7;jul;86;2;-1;0;nonexistent;no;180
25;blue-collar;single;secondary;no;218;no;yes;cellular;7;jul;448;1;-1;0;nonexistent;no;181
57;blue-collar;married;primary;no;282;no;yes;cellular;7;jul;261;12;-1;0;nonexistent;no;182
29;services;married;secondary;no;123;no;yes;cellular;7;jul;151;1;-1;0;nonexistent;no;183
48;blue-collar;married;primary;no;14;no;yes;cellular;7;jul;120;1;-1;0;nonexistent;no;184
29;blue-collar;married;secondary;no;247;no;yes;cellular;7;jul;199;1;-1;0;nonexistent;no;185
38;housemaid;divorced;secondary;no;216;no;no;cellular;7;jul;97;3;-1;0;nonexistent;no;186
29;technician;married;secondary;no;-28;no;no;cellular;7;jul;531;1;-1;0;nonexistent;no;187
40;blue-collar;married;secondary;no;326;yes;yes;cellular;7;jul;112;1;-1;0;nonexistent;no;188
31;admin.;single;secondary;no;119;no;no;cellular;7;jul;80;1;-1;0;nonexistent;no;189
34;blue-collar;married;primary;no;69;no;no;telephone;7;jul;41;1;-1;0;nonexistent;no;190
29;blue-collar;married;primary;no;707;no;no;cellular;7;jul;210;1;-1;0;nonexistent;no;191
44;housemaid;married;primary;no;-227;no;yes;cellular;7;jul;153;1;-1;0;nonexistent;no;192
41;blue-collar;single;secondary;yes;1085;yes;yes;cellular;7;jul;599;1;-1;0;nonexistent;yes;193
34;blue-collar;divorced;secondary;no;368;no;yes;cellular;7;jul;2201;1;-1;0;nonexistent;no;194
35;entrepreneur;married;primary;yes;25;no;yes;cellular;7;jul;236;1;-1;0;nonexistent;no;195
43;management;divorced;tertiary;no;-132;yes;yes;cellular;7;jul;532;2;-1;0;nonexistent;no;196
59;blue-collar;divorced;primary;no;1265;no;yes;cellular;7;jul;849;1;-1;0;nonexistent;yes;197
46;management;married;secondary;no;700;no;yes;cellular;7;jul;136;1;-1;0;nonexistent;no;198
55;blue-collar;single;secondary;no;82;no;yes;cellular;7;jul;500;1;-1;0;nonexistent;no;199
41;housemaid;married;primary;no;1529;no;no;cellular;7;jul;61;6;-1;0;nonexistent;no;200
59;management;single;tertiary;no;623;yes;no;cellular;7;jul;212;4;-1;0;nonexistent;no;201
39;technician;married;secondary;no;-241;yes;yes;cellular;7;jul;337;4;-1;0;nonexistent;no;202
26;technician;divorced;tertiary;no;278;yes;yes;cellular;7;jul;1467;1;-1;0;nonexistent;no;203
33;blue-collar;married;secondary;no;1834;yes;no;cellular;7;jul;117;3;-1;0;nonexistent;no;204
32;technician;single;secondary;no;-398;no;yes;cellular;7;jul;387;2;-1;0;nonexistent;no;205
41;technician;divorced;secondary;no;0;no;no;cellular;7;jul;353;4;-1;0;nonexistent;no;206
29;services;married;secondary;no;-597;no;no;cellular;7;jul;500;2;-1;0;nonexistent;no;207
31;blue-collar;single;secondary;no;16;no;no;cellular;7;jul;387;1;-1;0;nonexistent;no;208
37;admin.;married;secondary;no;10;no;yes;cellular;7;jul;162;2;-1;0;nonexistent;no;209
50;admin.;single;secondary;no;-79;no;yes;cellular;7;jul;70;1;-1;0;nonexistent;no;210
27;management;single;tertiary;no;338;no;yes;cellular;7;jul;535;1;-1;0;nonexistent;no;211
47;management;married;tertiary;no;-50;no;yes;cellular;7;jul;175;1;-1;0;nonexistent;no;212
47;technician;single;secondary;no;-239;yes;yes;cellular;7;jul;973;3;-1;0;nonexistent;yes;213
47;housemaid;married;tertiary;no;333;no;no;telephone;7;jul;141;1;-1;0;nonexistent;no;214
51;services;married;secondary;no;867;yes;no;cellular;7;jul;422;3;-1;0;nonexistent;no;215
57;retired;married;secondary;no;-37;no;yes;cellular;7;jul;354;1;-1;0;nonexistent;no;216
44;technician;divorced;secondary;no;0;yes;no;cellular;7;jul;835;4;-1;0;nonexistent;no;217
51;management;married;tertiary;no;1392;no;no;cellular;7;jul;511;3;-1;0;nonexistent;no;218
28;blue-collar;married;primary;no;-196;no;no;cellular;7;jul;209;1;-1;0;nonexistent;no;219
41;admin.;single;secondary;no;0;yes;yes;cellular;7;jul;166;1;-1;0;nonexistent;no;220
30;management;single;secondary;no;269;no;yes;cellular;7;jul;1165;2;-1;0;nonexistent;no;221
25;blue-collar;single;secondary;no;913;yes;no;cellular;7;jul;113;4;-1;0;nonexistent;no;222
32;admin.;single;secondary;no;-267;no;yes;cellular;7;jul;98;1;-1;0;nonexistent;no;223
40;services;married;secondary;no;193;yes;yes;cellular;7;jul;190;1;-1;0;nonexistent;no;224
31;services;single;secondary;no;78;yes;yes;cellular;7;jul;104;1;-1;0;nonexistent;no;225
30;unemployed;married;secondary;no;85;yes;yes;cellular;7;jul;88;1;-1;0;nonexistent;no;226
25;services;single;secondary;no;111;no;yes;cellular;7;jul;316;1;-1;0;nonexistent;no;227
45;blue-collar;married;secondary;no;226;no;no;telephone;7;jul;211;2;-1;0;nonexistent;no;228
49;blue-collar;married;primary;yes;-354;no;yes;cellular;7;jul;455;1;-1;0;nonexistent;no;229
32;admin.;single;secondary;no;212;no;no;cellular;7;jul;830;5;-1;0;nonexistent;yes;230
52;blue-collar;married;primary;no;9444;no;no;cellular;7;jul;271;3;-1;0;nonexistent;no;231
35;management;single;tertiary;no;14;no;no;cellular;7;jul;167;2;-1;0;nonexistent;no;232
60;retired;divorced;tertiary;no;468;no;no;cellular;7;jul;108;2;-1;0;nonexistent;no;233
33;blue-collar;single;primary;yes;-15;no;yes;cellular;7;jul;326;2;-1;0;nonexistent;no;234
43;management;married;tertiary;no;1530;no;no;cellular;7;jul;91;3;-1;0;nonexistent;no;235
42;admin.;married;secondary;no;1133;yes;no;cellular;7;jul;375;3;-1;0;nonexistent;no;236
33;services;single;secondary;no;329;yes;yes;cellular;7;jul;227;4;-1;0;nonexistent;no;237
42;technician;married;secondary;no;473;yes;no;cellular;7;jul;216;5;-1;0;nonexistent;no;238
26;blue-collar;single;secondary;yes;-8019;no;yes;cellular;7;jul;299;3;-1;0;nonexistent;no;239
25;technician;single;tertiary;no;226;no;no;cellular;7;jul;366;2;-1;0;nonexistent;no;240
26;admin.;married;secondary;no;383;yes;yes;cellular;7;jul;238;2;-1;0;nonexistent;no;241
39;admin.;divorced;secondary;no;1;no;yes;cellular;7;jul;281;1;-1;0;nonexistent;no;242
39;services;married;secondary;no;27;no;yes;cellular;7;jul;290;1;-1;0;nonexistent;no;243
31;technician;single;secondary;no;49;yes;no;cellular;7;jul;234;1;-1;0;nonexistent;no;244
52;unemployed;married;tertiary;no;1023;no;no;cellular;7;jul;107;6;-1;0;nonexistent;no;245
28;admin.;single;secondary;no;1507;no;no;cellular;7;jul;92;1;-1;0;nonexistent;no;246
46;blue-collar;married;primary;no;3969;no;no;telephone;7;jul;46;5;-1;0;nonexistent;no;247
28;services;single;secondary;no;198;no;no;cellular;7;jul;159;1;-1;0;nonexistent;no;248
54;housemaid;married;secondary;no;0;no;yes;cellular;7;jul;97;1;-1;0;nonexistent;no;249
45;blue-collar;married;primary;no;55;no;no;cellular;7;jul;112;3;-1;0;nonexistent;no;250
58;entrepreneur;married;primary;no;124;yes;no;cellular;7;jul;293;7;-1;0;nonexistent;no;251
42;blue-collar;single;secondary;no;419;no;no;cellular;7;jul;88;3;-1;0;nonexistent;no;252
34;blue-collar;single;secondary;no;-72;yes;no;cellular;7;jul;273;5;-1;0;nonexistent;no;253
50;technician;married;secondary;no;0;no;no;cellular;7;jul;152;2;-1;0;nonexistent;no;254
59;blue-collar;married;primary;no;3372;no;no;cellular;7;jul;87;1;-1;0;nonexistent;no;255
56;blue-collar;married;secondary;no;58932;no;no;telephone;7;jul;339;2;-1;0;nonexistent;no;256
58;technician;divorced;secondary;no;-354;yes;yes;cellular;7;jul;98;1;-1;0;nonexistent;no;257
31;management;married;tertiary;no;-513;no;yes;cellular;7;jul;124;1;-1;0;nonexistent;no;258
58;blue-collar;divorced;secondary;no;916;no;no;cellular;7;jul;244;4;-1;0;nonexistent;no;259
25;services;single;secondary;no;402;no;yes;cellular;7;jul;264;1;-1;0;nonexistent;no;260
32;blue-collar;single;secondary;no;22;no;no;cellular;7;jul;280;1;-1;0;nonexistent;no;261
38;blue-collar;married;primary;no;433;no;no;cellular;7;jul;116;3;-1;0;nonexistent;no;262
33;management;single;secondary;no;1326;no;yes;cellular;7;jul;164;2;-1;0;nonexistent;no;263
37;admin.;married;secondary;no;147;yes;no;cellular;7;jul;25;30;-1;0;nonexistent;no;264
38;management;married;tertiary;no;76;yes;no;cellular;7;jul;196;3;-1;0;nonexistent;no;265
31;management;single;tertiary;no;1598;yes;no;cellular;7;jul;36;33;-1;0;nonexistent;no;266
52;blue-collar;divorced;secondary;no;497;no;yes;cellular;7;jul;277;2;-1;0;nonexistent;no;267
27;admin.;single;secondary;no;145;no;yes;cellular;7;jul;95;3;-1;0;nonexistent;no;268
25;blue-collar;married;primary;no;0;no;no;cellular;7;jul;116;1;-1;0;nonexistent;no;269
31;admin.;single;tertiary;no;383;no;yes;cellular;7;jul;305;1;-1;0;nonexistent;no;270
35;management;married;tertiary;no;1361;no;yes;cellular;7;jul;15;11;-1;0;nonexistent;no;271
28;unemployed;single;secondary;yes;-1270;no;yes;telephone;7;jul;237;2;-1;0;nonexistent;no;272
29;blue-collar;married;secondary;no;-305;yes;yes;cellular;7;jul;263;1;-1;0;nonexistent;no;273
33;technician;married;secondary;no;2284;yes;yes;cellular;7;jul;210;2;-1;0;nonexistent;no;274
39;services;married;secondary;no;0;no;no;cellular;7;jul;333;5;-1;0;nonexistent;no;275
47;blue-collar;married;secondary;yes;-594;yes;yes;cellular;7;jul;100;4;-1;0;nonexistent;no;276
50;technician;married;secondary;no;1717;no;no;telephone;7;jul;416;8;-1;0;nonexistent;no;277
50;self-employed;divorced;tertiary;no;387;no;no;cellular;7;jul;221;8;-1;0;nonexistent;no;278
49;management;married;tertiary;no;96;no;no;cellular;7;jul;51;2;-1;0;nonexistent;no;279
44;entrepreneur;married;primary;no;5038;no;no;cellular;7;jul;199;7;-1;0;nonexistent;no;280
